Name	Source	function
Sobic.008G043800	defLine	Predicted protein
Sobic.008G044000	defLine	similar to Expressed protein
Sobic.008G044100	defLine	similar to Transposon protein, putative, unclassified, expressed
Sobic.008G044300	defLine	similar to U-box domain containing protein, expressed
Sobic.008G044400	defLine	Predicted protein
Sobic.008G044450	defLine	weakly similar to Putative uncharacterized protein
Sobic.008G044500	defLine	Predicted protein
Sobic.008G044900	defLine	Predicted protein
Sobic.008G045000	defLine	Predicted protein
Sobic.008G045300	defLine	similar to Citrate binding protein, putative
Sobic.008G045700	defLine	weakly similar to Expressed protein
Sobic.008G045800	defLine	Predicted protein
Sobic.008G046200	defLine	weakly similar to PHD-finger family protein, expressed
Sobic.008G046500	defLine	similar to Calcineurin B-like protein 3, putative, expressed
Sobic.008G046600	defLine	similar to BZIP transcriptional activator RSG-related
Sobic.008G046800	defLine	similar to Protein kinase family protein, putative, expressed
Sobic.008G046900	defLine	similar to Os11g0162200 protein
Sobic.008G047000	defLine	similar to Actin-11
Sobic.008G047100	defLine	similar to Pentatricopeptide, putative, expressed
Sobic.008G047300	defLine	similar to Expressed protein
Sobic.008G047400	defLine	similar to Tubby protein, putative, expressed
Sobic.008G047600	defLine	similar to Os12g0164600 protein
Sobic.008G047700	defLine	similar to ZW18 protein, putative, expressed
Sobic.008G047800	defLine	similar to WD repeat domain 48, putative, expressed
Sobic.008G048200	defLine	similar to Exo70 exocyst complex subunit family protein, expressed
Sobic.008G048300	defLine	similar to Transcription elongation factor, putative, expressed
Sobic.008G048400	defLine	similar to Citrate binding protein, putative
Sobic.008G048800	defLine	similar to Citrate binding protein, putative
Sobic.008G048900	defLine	similar to Citrate binding protein, putative
Sobic.008G049100	defLine	similar to Nrap protein, expressed
Sobic.008G049200	defLine	similar to 22 kDa drought-inducible protein
Sobic.008G049300	defLine	weakly similar to Putative uncharacterized protein
Sobic.008G050400	defLine	similar to 5-formyltetrahydrofolate cyclo-ligase family protein, putative, expressed
Sobic.008G050500	defLine	similar to MYB transcription factor-like
Sobic.008G050700	defLine	similar to Os05g0297900 protein
Sobic.008G050800	defLine	weakly similar to OSJNBb0003B01.20 protein
Sobic.008G050900	defLine	weakly similar to OSJNBb0003B01.20 protein
Sobic.008G051000	defLine	similar to Magnesium chelatase subunit I precursor
Sobic.008G051100	defLine	similar to Ssu72-like protein, expressed
Sobic.008G051200	defLine	similar to DnaJ C terminal region family protein, expressed
Sobic.008G051300	defLine	similar to AMP-binding enzyme family protein, expressed
Sobic.008G051700	defLine	Predicted protein
Sobic.008G051800	defLine	similar to Vacuolar ATP synthase 16 kDa proteolipid subunit 4
Sobic.008G052200	defLine	similar to Beta-galactosidase 15 precursor
Sobic.008G052300	defLine	similar to Os12g0169100 protein
Sobic.008G052400	defLine	similar to Glyoxal oxidase, putative, expressed
Sobic.008G052900	defLine	similar to Os12g0169400 protein
Sobic.008G053200	defLine	similar to Fructose-bisphosphate aldolase, chloroplast precursor
Sobic.008G053300	defLine	similar to Calcium-dependent protein kinase, isoform AK1, putative, expressed
Sobic.008G053600	defLine	similar to 4-alpha-L-fucosyltransferase
Sobic.008G053800	defLine	weakly similar to Putative wall-associated kinase 2
Sobic.008G053900	defLine	similar to Citrate binding protein, putative, expressed
Sobic.008G054000	defLine	similar to TRNA-nucleotidyltransferase, putative, expressed
Sobic.008G054100	defLine	similar to Putative uncharacterized protein
Sobic.008G054200	defLine	weakly similar to Expressed protein
Sobic.008G054500	defLine	similar to Os12g0172500 protein
Sobic.008G054600	defLine	weakly similar to Putative uncharacterized protein
Sobic.008G054700	defLine	similar to Os12g0174100 protein
Sobic.008G055100	defLine	similar to Dirigent-like protein, expressed
Sobic.008G055200	defLine	similar to Dirigent-like protein, expressed
Sobic.008G055300	defLine	similar to Putative uncharacterized protein
Sobic.008G055500	defLine	similar to Protein-tyrosine phosphatase containing protein, expressed
Sobic.008G055800	defLine	similar to Transcription factor MYB8
Sobic.008G055900	defLine	similar to Endomembrane protein 70 containing protein, expressed
Sobic.008G056600	defLine	Predicted protein
Sobic.008G056800	defLine	weakly similar to Putative uncharacterized protein
Sobic.008G056900	defLine	similar to Os12g0176500 protein
Sobic.008G057000	defLine	similar to Putative uncharacterized protein
Sobic.008G057100	defLine	similar to Eukaryotic aspartyl protease family protein, expressed
Sobic.008G057200	defLine	similar to Amino acid transporter, putative, expressed
Sobic.008G057500	defLine	similar to Aldehyde dehydrogenase family protein, expressed
Sobic.008G057600	defLine	similar to Putative uncharacterized protein
Sobic.008G057700	defLine	Predicted protein
Sobic.008G057800	defLine	similar to Dehydration-responsive protein, putative
Sobic.008G057900	defLine	similar to Probable L-ascorbate peroxidase 6, chloroplast precursor
Sobic.008G058000	defLine	similar to Dynamin family protein, putative, expressed
Sobic.008G058200	defLine	similar to Putative uncharacterized protein
Sobic.008G058300	defLine	similar to DNA-directed RNA polymerases I, II, and III subunit RPABC5
Sobic.008G058500	defLine	similar to Cytochrome P450 71E1
Sobic.008G058700	defLine	similar to Putative uncharacterized protein OSJNBa0065C11.1
Sobic.008G058900	defLine	similar to Amino acid transporter, putative, expressed
Sobic.008G059000	defLine	similar to Amino acid transporter, putative, expressed
Sobic.008G059100	defLine	similar to Amino acid transporter, putative, expressed
Sobic.008G059200	defLine	similar to Amino acid transporter, putative, expressed
Sobic.008G059400	defLine	similar to Amino acid transporter, putative, expressed
Sobic.008G059700	defLine	weakly similar to Putative uncharacterized protein
Sobic.008G059800	defLine	similar to Putative uncharacterized protein
Sobic.008G060000	defLine	similar to Leucine Rich Repeat family protein, expressed
Sobic.008G060300	defLine	weakly similar to WRKY transcription factor 45
Sobic.008G060500	defLine	weakly similar to Leucine Rich Repeat family protein, expressed
Sobic.008G061000	defLine	weakly similar to Expressed protein
Sobic.008G061100	defLine	similar to Expressed protein
Sobic.008G062000	defLine	similar to Os12g0182800 protein
Sobic.008G062200	defLine	similar to Putative uncharacterized protein
Sobic.008G062300	defLine	similar to Expressed protein
Sobic.008G062400	defLine	similar to Diphosphonucleotide phosphatase 1
Sobic.008G062500	defLine	similar to Glycine cleavage system H protein, mitochondrial precursor
Sobic.008G062700	defLine	similar to Expressed protein
Sobic.008G062900	defLine	similar to F13j11 PRLI-interacting factor G, putative, expressed
Sobic.008G063000	defLine	similar to Expressed protein
Sobic.008G063100	defLine	similar to Thioredoxin M-type, chloroplast precursor
Sobic.008G063300	defLine	similar to Exonuclease family protein, putative, expressed
Sobic.008G063400	defLine	weakly similar to Myb-like protein
Sobic.008G064400	defLine	similar to Zinc-binding protein-like
Sobic.008G064500	defLine	similar to Expressed protein
Sobic.008G064700	defLine	similar to VTC2, putative, expressed
Sobic.008G064900	defLine	similar to Plant protein family protein, expressed
Sobic.008G065000	defLine	similar to Chromosome chr18 scaffold_1, whole genome shotgun sequence
Sobic.008G066000	defLine	similar to Putative cyclin-dependent kinase F-2
Sobic.008G066100	defLine	similar to Putative uncharacterized protein
Sobic.008G066200	defLine	similar to Phage head-tail adaptor family protein, expressed
Sobic.008G066700	defLine	similar to Class III peroxidase 137 precursor
Sobic.008G066800	defLine	similar to Expressed protein
Sobic.008G067000	defLine	weakly similar to SNARE domain containing protein, expressed
Sobic.008G067100	defLine	similar to Phosphomethylpyrimidine kinase/thiamin-phosphate pyrophosphorylase
Sobic.008G067200	defLine	similar to Os12g0193100 protein
Sobic.008G067600	defLine	similar to Myosin-like protein, putative, expressed
Sobic.008G067900	defLine	similar to BZIP transcription factor family protein, expressed
Sobic.008G068100	defLine	similar to Pseudouridylate synthase
Sobic.008G068200	defLine	similar to Amino acid permease I, putative, expressed
Sobic.008G068300	defLine	similar to Os05g0278500 protein
Sobic.008G069100	defLine	Predicted protein
Sobic.008G069500	defLine	similar to Putative uncharacterized protein
Sobic.008G070350	defLine	similar to Phosphoribosylamine-glycine ligase, chloroplast, putative, expressed
Sobic.008G070500	defLine	similar to AIG1 family protein, expressed
Sobic.008G070600	defLine	similar to Leafbladeless1
Sobic.008G070700	defLine	similar to Leafbladeless1
Sobic.008G070800	defLine	similar to Expressed protein
Sobic.008G070900	defLine	similar to Expressed protein
Sobic.008G071050	defLine	similar to 3' exoribonuclease family, domain 1 containing protein, expressed
Sobic.008G071200	defLine	Predicted protein
Sobic.008G071300	defLine	similar to Protein phosphatase 2C containing protein, expressed
Sobic.008G071900	defLine	Predicted protein
Sobic.008G072200	defLine	similar to Coatomer subunit delta-2
Sobic.008G072300	defLine	similar to Chromosome chr18 scaffold_24, whole genome shotgun sequence
Sobic.008G072400	defLine	similar to Transposon protein, putative, unclassified, expressed
Sobic.008G072500	defLine	similar to Chromosome chr18 scaffold_24, whole genome shotgun sequence
Sobic.008G072600	defLine	similar to Uncharacterized plant-specific domain TIGR01627 family protein, expressed
Sobic.008G072700	defLine	similar to Expressed protein
Sobic.008G072900	defLine	similar to ZAG2 protein
Sobic.008G073000	defLine	similar to Transposon protein, putative, CACTA, En/Spm sub-class, expressed
Sobic.008G073100	defLine	similar to Os12g0209000 protein
Sobic.008G073200	defLine	similar to Os12g0208900 protein
Sobic.008G073300	defLine	similar to AP-2 complex subunit sigma-1
Sobic.008G073400	defLine	weakly similar to Salt tolerance-like protein At1g78600, putative, expressed
Sobic.008G073500	defLine	similar to ATPase, AAA family protein, expressed
Sobic.008G073600	defLine	similar to PHD finger protein, putative, expressed
Sobic.008G073700	defLine	similar to Serine carboxypeptidase 1 precursor (EC 3.4.16.5) (Serine carboxypeptidase I) (Carboxypeptidase C) (CP-MI)
Sobic.008G073900	defLine	similar to Serine carboxypeptidase 1 precursor (EC 3.4.16.5) (Serine carboxypeptidase I) (Carboxypeptidase C)
Sobic.008G074200	defLine	similar to OSJNBb0006N15.10 protein
Sobic.008G074300	defLine	similar to Glutathione S-transferase GST 18
Sobic.008G074400	defLine	similar to Glutathione S-transferase GST 18
Sobic.008G074500	defLine	similar to Leucine Rich Repeat family protein, expressed
Sobic.008G074600	defLine	similar to Os06g0251000 protein
Sobic.008G075200	defLine	similar to Os12g0210800 protein
Sobic.008G075300	defLine	similar to SMC1 protein
Sobic.008G075500	defLine	similar to Leucine Rich Repeat family protein, expressed
Sobic.008G075700	defLine	similar to Leucine Rich Repeat family protein, expressed
Sobic.008G075900	defLine	similar to SIAH1 protein-like
Sobic.008G076100	defLine	weakly similar to Putative uncharacterized protein
Sobic.008G076200	defLine	similar to Putative uncharacterized protein
Sobic.008G076250	defLine	similar to Putative uncharacterized protein
Sobic.008G076600	defLine	similar to Os12g0215900 protein
Sobic.008G076700	defLine	similar to Putative uncharacterized protein
Sobic.008G076800	defLine	similar to Putative uncharacterized protein
Sobic.008G076900	defLine	weakly similar to Putative uncharacterized protein
Sobic.008G077500	defLine	similar to Cytochrome b5-like Heme/Steroid binding domain containing protein, expressed
Sobic.008G077600	defLine	similar to Diacylglycerol kinase 1, putative, expressed
Sobic.008G077700	defLine	similar to Os12g0574800 protein
Sobic.008G077800	defLine	weakly similar to GDSL-like Lipase/Acylhydrolase family protein, expressed
Sobic.008G077900	defLine	similar to Exostosin family protein, expressed
Sobic.008G078300	defLine	similar to Transposon protein, putative, Mutator sub-class, expressed
Sobic.008G078400	defLine	similar to Outer envelope protein, putative, expressed
Sobic.008G078600	defLine	similar to NADP-dependent oxidoreductase P1, putative, expressed
Sobic.008G078800	defLine	similar to Putative uncharacterized protein
Sobic.008G078900	defLine	similar to 2-alkenal reductase
Sobic.008G079300	defLine	similar to Glutathione-S-transferase 19E50
Sobic.008G079400	defLine	similar to Glutathione-S-transferase 19E50
Sobic.008G079500	defLine	similar to Putative uncharacterized protein
Sobic.008G079600	defLine	similar to 12-oxo-phytodienoic acid reductase
Sobic.008G079800	defLine	similar to Dhurrinase
Sobic.008G080100	defLine	similar to Dhurrinase
Sobic.008G080200	defLine	Predicted protein
Sobic.008G080400	defLine	similar to Cyanogenic beta-glucosidase dhurrinase-2
Sobic.008G080500	defLine	weakly similar to Expressed protein
Sobic.008G080600	defLine	similar to Dhurrinase
Sobic.008G080700	defLine	similar to Protein kinase-like protein
Sobic.008G080900	defLine	similar to Expressed protein
Sobic.008G081200	defLine	similar to Os12g0231000 protein
Sobic.008G081400	defLine	similar to Os12g0231000 protein
Sobic.008G081500	defLine	similar to Os12g0231000 protein
Sobic.008G081600	defLine	similar to Expressed protein
Sobic.008G081800	defLine	Predicted protein
Sobic.008G081900	defLine	similar to ATP-dependent Clp protease ATP-binding subunit clpA CD4B,chloroplast, putative, expressed
Sobic.008G082200	defLine	similar to TWIN SISTER of FT protein, putative, expressed
Sobic.008G082400	defLine	similar to Proline-rich protein
Sobic.008G082500	defLine	similar to Alanyl-tRNA synthetase, mitochondrial, putative, expressed
Sobic.008G082700	defLine	similar to WW domain containing protein, expressed
Sobic.008G082800	defLine	similar to Pentatricopeptide, putative, expressed
Sobic.008G082900	defLine	similar to Histidine triad family protein, putative, expressed
Sobic.008G083000	defLine	similar to Zinc finger family protein, putative, expressed
Sobic.008G083100	defLine	similar to Expressed protein
Sobic.008G083200	defLine	similar to DNA-binding factor of bZIP class
Sobic.008G083300	defLine	similar to Os12g0235700 protein
Sobic.008G083400	defLine	similar to Argininosuccinate synthase
Sobic.008G083500	defLine	similar to Expressed protein
Sobic.008G083700	defLine	similar to Putative uncharacterized protein
Sobic.008G084100	defLine	similar to Adenylate kinase B
Sobic.008G084200	defLine	similar to Putative uncharacterized protein
Sobic.008G084600	defLine	similar to Adenylate kinase B
Sobic.008G084900	defLine	similar to D-mannose binding lectin family protein
Sobic.008G085300	defLine	weakly similar to Os01g0217900 protein
Sobic.008G085700	defLine	similar to Exocyst complex component 5
Sobic.008G086200	defLine	similar to Expressed protein
Sobic.008G087000	defLine	similar to Os12g0242900 protein
Sobic.008G087100	defLine	similar to DNA-binding storekeeper protein, putative, expressed
Sobic.008G087300	defLine	similar to 3-oxoacyl-reductase, chloroplast, putative, expressed
Sobic.008G087500	defLine	similar to Expressed protein
Sobic.008G087800	defLine	weakly similar to Putative uncharacterized protein
Sobic.008G088000	defLine	similar to Putative uncharacterized protein OSJNBa0010H19.12
Sobic.008G088200	defLine	similar to Stromal 70 kDa heat shock-related protein, chloroplast, putative, expressed
Sobic.008G088300	defLine	weakly similar to F-box domain containing protein, expressed
Sobic.008G088500	defLine	similar to Lysine and histidine specific transporter, putative, expressed
Sobic.008G088600	defLine	similar to Expressed protein
Sobic.008G089100	defLine	similar to Armadillo/beta-catenin repeat family protein, putative, expressed
Sobic.008G089900	defLine	similar to Lysosomal Cystine Transporter family protein, expressed
Sobic.008G090000	defLine	similar to Oxysterol-binding protein, expressed
Sobic.008G090600	defLine	similar to Expressed protein
Sobic.008G090800	defLine	similar to Laccase-25 precursor
Sobic.008G090900	defLine	similar to Expressed protein
Sobic.008G091500	defLine	weakly similar to Chromosome chr2 scaffold_11, whole genome shotgun sequence
Sobic.008G092600	defLine	similar to Putative uncharacterized protein
Sobic.008G093000	defLine	similar to ABC transporter
Sobic.008G093200	defLine	similar to Os12g0465700 protein
Sobic.008G094000	defLine	similar to N3 like protein, putative, expressed
Sobic.008G094300	defLine	similar to N3 like protein, putative, expressed
Sobic.008G094400	defLine	similar to N3 like protein, putative, expressed
Sobic.008G094600	defLine	similar to Os12g0477600 protein
Sobic.008G094700	defLine	similar to No apical meristem protein, expressed
Sobic.008G094800	defLine	weakly similar to OSJNBa0035O13.10 protein
Sobic.008G095000	defLine	similar to ABA-responsive protein, putative, expressed
Sobic.008G095100	defLine	similar to SAM domain family protein
Sobic.008G095500	defLine	similar to Translation initiation factor eIF5
Sobic.008G095900	defLine	similar to Expressed protein
Sobic.008G096000	defLine	similar to Auxin response factor 24
Sobic.008G096100	defLine	similar to Expressed protein
Sobic.008G096200	defLine	similar to Protein kinase, putative, expressed
Sobic.008G096500	defLine	similar to Putative uncharacterized protein
Sobic.008G096700	defLine	weakly similar to Expressed protein
Sobic.008G096800	defLine	similar to Expressed protein
Sobic.008G096900	defLine	similar to Putative uncharacterized protein
Sobic.008G097000	defLine	similar to L-galactose dehydrogenase
Sobic.008G097100	defLine	similar to Os05g0273800 protein
Sobic.008G097300	defLine	similar to Nodulin family protein, putative, expressed
Sobic.008G097500	defLine	Predicted protein
Sobic.008G097600	defLine	similar to Cyclin-T1-4
Sobic.008G097700	defLine	similar to LILLIM08, putative, expressed
Sobic.008G097800	defLine	similar to Calcium-dependent protein kinase, isoform AK1, putative, expressed
Sobic.008G097900	defLine	similar to Partial_Kinase
Sobic.008G098600	defLine	similar to Putative uncharacterized protein
Sobic.008G098700	defLine	weakly similar to Pumilio-family RNA binding repeat containing protein, expressed
Sobic.008G098800	defLine	similar to Ribosomal protein S6 RPS6-1
Sobic.008G098900	defLine	similar to Ubiquitin-specific protease 12, putative, expressed
Sobic.008G099000	defLine	similar to Expressed protein
Sobic.008G099100	defLine	similar to Expressed protein
Sobic.008G099800	defLine	similar to Expressed protein
Sobic.008G100000	defLine	similar to 40S ribosomal protein S9, putative, expressed
Sobic.008G100100	defLine	similar to CDC5 protein
Sobic.008G100300	defLine	similar to Pumilio-family RNA binding repeat containing protein, expressed
Sobic.008G100400	defLine	similar to Pentatricopeptide, putative
Sobic.008G100600	defLine	similar to H0207B04.10 protein
Sobic.008G100700	defLine	similar to Putative GRF-interacting factor 3
Sobic.008G101000	defLine	similar to Powdery mildew resistance protein PM3b, putative, expressed
Sobic.008G101300	defLine	similar to Rad51
Sobic.008G101600	defLine	similar to Initiation factor 2 subunit family protein, expressed
Sobic.008G101800	defLine	similar to Expressed protein
Sobic.008G101900	defLine	similar to MinE
Sobic.008G102000	defLine	similar to DnaJ domain containing protein, expressed
Sobic.008G102600	defLine	similar to Expressed protein
Sobic.008G102900	defLine	Predicted protein
Sobic.008G103000	defLine	weakly similar to Zinc finger POZ domain protein-like
Sobic.008G103200	defLine	similar to Putative prolyl endopeptidase
Sobic.008G103300	defLine	similar to Vacuolar protein sorting 26, putative, expressed
Sobic.008G103400	defLine	similar to Universal stress protein family protein, expressed
Sobic.008G103700	defLine	similar to Nitrilase-associated protein, putative, expressed
Sobic.008G103800	defLine	similar to Expressed protein
Sobic.008G103900	defLine	similar to RNA recognition motif family protein, expressed
Sobic.008G104200	defLine	similar to Hydrolase, carbon-nitrogen family protein, expressed
Sobic.008G104300	defLine	weakly similar to Os05g0177100 protein
Sobic.008G104400	defLine	similar to DnaJ domain containing protein, expressed
Sobic.008G104500	defLine	similar to Ureide permease 2, putative, expressed
Sobic.008G104801	defLine	similar to Os07g0447000 protein
Sobic.008G105200	defLine	Predicted protein
Sobic.008G105500	defLine	similar to Ureide permease 4, putative, expressed
Sobic.008G105800	defLine	similar to Os06g0500700 protein
Sobic.008G106000	defLine	similar to Putative uncharacterized protein
Sobic.008G106100	defLine	similar to Putative uncharacterized protein
Sobic.008G106200	defLine	similar to Os06g0500700 protein
Sobic.008G106550	defLine	Predicted protein
Sobic.008G106700	defLine	similar to Isoflavone reductase, putative, expressed
Sobic.008G106800	defLine	similar to Isoflavone reductase, putative, expressed
Sobic.008G106900	defLine	similar to Cornichon protein, expressed
Sobic.008G107000	defLine	Predicted protein
Sobic.008G107200	defLine	similar to Putative cytochrome P450
Sobic.008G107500	defLine	similar to Os12g0507300 protein
Sobic.008G107600	defLine	similar to Expressed protein
Sobic.008G107800	defLine	similar to Putative uncharacterized protein
Sobic.008G108000	defLine	similar to Os12g0507700 protein
Sobic.008G109000	defLine	Predicted protein
Sobic.008G109300	defLine	similar to Iron-deficiency specific clone No.3
Sobic.008G109400	defLine	similar to Iron-deficiency specific clone No.3
Sobic.008G109500	defLine	Predicted protein
Sobic.008G109600	defLine	similar to Iron-deficiency specific clone No.3
Sobic.008G109900	defLine	similar to Expressed protein
Sobic.008G110000	defLine	weakly similar to Putative dsRNA-binding protein ODB1
Sobic.008G110200	defLine	similar to Pollen-specific protein SF3, putative, expressed
Sobic.008G110300	defLine	similar to F-box domain containing protein, expressed
Sobic.008G110600	defLine	similar to Expressed protein
Sobic.008G110700	defLine	similar to Expressed protein
Sobic.008G111300	defLine	similar to Sugar transporter family protein, expressed
Sobic.008G111400	defLine	similar to Os12g0514100 protein
Sobic.008G111500	defLine	similar to Plant integral membrane protein TIGR01569 containing protein, expressed
Sobic.008G111600	defLine	similar to Os12g0514500 protein
Sobic.008G111700	defLine	similar to Os12g0514600 protein
Sobic.008G111800	defLine	similar to Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein, putative, expressed
Sobic.008G112000	defLine	similar to Os03g0690500 protein
Sobic.008G112100	defLine	similar to 1-acyl-sn-glycerol-3-phosphate acyltransferase PLS1
Sobic.008G112200	defLine	similar to Myb transcription factor
Sobic.008G112300	defLine	similar to Plastidic 2-oxoglutarate/malate transporter
Sobic.008G112500	defLine	similar to Zinc finger C-x8-C-x5-C-x3-H type family protein, expressed
Sobic.008G112600	defLine	similar to Guanylate kinase, putative, expressed
Sobic.008G113000	defLine	similar to Secretory acid phosphatase
Sobic.008G113200	defLine	similar to Pentatricopeptide, putative, expressed
Sobic.008G113300	defLine	weakly similar to Expressed protein
Sobic.008G113400	defLine	similar to Expressed protein
Sobic.008G113500	defLine	similar to Adaptor complexes medium subunit family protein, expressed
Sobic.008G113700	defLine	similar to Auxin-binding protein 4 precursor
Sobic.008G113800	defLine	similar to Expressed protein
Sobic.008G113900	defLine	similar to OSIGBa0093M15.1 protein
Sobic.008G114000	defLine	similar to OSJNBa0089E12.15 protein
Sobic.008G114101	defLine	Predicted protein
Sobic.008G114200	defLine	similar to OSIGBa0093M15.1 protein
Sobic.008G114300	defLine	similar to Putative acetyl-CoA carboxylase
Sobic.008G114500	defLine	similar to Probable histone H2AXb
Sobic.008G114700	defLine	similar to Os12g0530100 protein
Sobic.008G114900	defLine	similar to Rac GTPase activating protein 3, putative, expressed
Sobic.008G115000	defLine	similar to Vernalization insensitive 3
Sobic.008G115200	defLine	similar to OSIGBa0112G01.1 protein
Sobic.008G115500	defLine	similar to Putative uncharacterized protein
Sobic.008G115600	defLine	similar to Putative uncharacterized protein
Sobic.008G115700	defLine	similar to Putative uncharacterized protein
Sobic.008G115900	defLine	similar to Mitochondrial carrier protein, expressed
Sobic.008G1159000	defLine	similar to Mitochondrial carrier protein, expressed
Sobic.008G1159001	defLine	similar to Mitochondrial carrier protein, expressed
Sobic.008G1159002	defLine	similar to Mitochondrial carrier protein, expressed
Sobic.008G115900	defLine	similar to Mitochondrial carrier protein, expressed
Sobic.008G116000	defLine	similar to Putative uncharacterized protein
Sobic.008G116300	defLine	similar to Expressed protein
Sobic.008G116400	defLine	similar to Acyl carrier protein
Sobic.008G116500	defLine	similar to Putative uncharacterized protein
Sobic.008G116600	defLine	similar to Metalloenzyme superfamily protein, expressed
Sobic.008G116900	defLine	Predicted protein
Sobic.008G117100	defLine	similar to Expressed protein
Sobic.008G117200	defLine	similar to CHY zinc finger family protein, expressed
Sobic.008G117300	defLine	similar to Putative glutaredoxin-C14 precursor
Sobic.008G117800	defLine	similar to Putative glutaredoxin-C14 precursor
Sobic.008G117900	defLine	similar to Putative glutaredoxin-C14 precursor
Sobic.008G118000	defLine	similar to Glutaredoxin-C15
Sobic.008G118200	defLine	similar to Vesicle tethering family protein, putative, expressed
Sobic.008G118300	defLine	similar to Expressed protein
Sobic.008G118400	defLine	similar to Kelch motif family protein, expressed
Sobic.008G118500	defLine	similar to Tryptophanyl-tRNA synthetase, putative, expressed
Sobic.008G118700	defLine	similar to Respiratory burst oxidase, putative, expressed
Sobic.008G118800	defLine	similar to Os12g0541400 protein
Sobic.008G118900	defLine	similar to Adenosine 5'-phosphosulfate reductase 6
Sobic.008G119400	defLine	similar to Rapid ALkalinization Factor family protein, expressed
Sobic.008G119900	defLine	similar to Subtilase family protein, expressed
Sobic.008G121900	defLine	Predicted protein
Sobic.008G122300	defLine	similar to Subtilase family protein, expressed
Sobic.008G122800	defLine	similar to Putative taxane 14b-hydroxylase
Sobic.008G123000	defLine	similar to Os12g0547500 protein
Sobic.008G123100	defLine	similar to Calmodulin-binding protein, putative, expressed
Sobic.008G123400	defLine	similar to G14587-6, putative, expressed
Sobic.008G123500	defLine	similar to Expressed protein
Sobic.008G123600	defLine	similar to Nucleoside diphosphate kinase
Sobic.008G124000	defLine	similar to Putative uncharacterized protein
Sobic.008G124400	defLine	similar to Fiber protein Fb19, putative, expressed
Sobic.008G124600	defLine	Predicted protein
Sobic.008G124700	defLine	similar to Os12g0516700 protein
Sobic.008G124800	defLine	similar to Expressed protein
Sobic.008G124900	defLine	similar to Putative Altered Response to Gravity
Sobic.008G125100	defLine	similar to Dihydrofolate synthetase/folylpolyglutamate synthetase, putative, expressed
Sobic.008G125200	defLine	similar to Os12g0554500 protein
Sobic.008G125700	defLine	similar to F22D16.26 protein
Sobic.008G125900	defLine	weakly similar to Fiber protein Fb2, putative, expressed
Sobic.008G126100	defLine	similar to Histone H2A
Sobic.008G126200	defLine	Predicted protein
Sobic.008G126600	defLine	weakly similar to Calmodulin-binding protein, putative, expressed
Sobic.008G126700	defLine	Predicted protein
Sobic.008G126800	defLine	weakly similar to Putative uncharacterized protein
Sobic.008G127000	defLine	similar to Putative PrMC3
Sobic.008G127100	defLine	similar to Os12g0556600 protein
Sobic.008G127200	defLine	similar to Expressed protein
Sobic.008G127500	defLine	similar to Expressed protein
Sobic.008G127600	defLine	Predicted protein
Sobic.008G127700	defLine	Predicted protein
Sobic.008G128900	defLine	similar to DNA-directed RNA polymerase II 14.5 kDa polypeptide, putative, expressed
Sobic.008G129000	defLine	similar to Os05g0287800 protein
Sobic.008G129100	defLine	similar to Expressed protein
Sobic.008G129200	defLine	similar to Putative uncharacterized protein
Sobic.008G129300	defLine	similar to Ocs element-binding factor 1
Sobic.008G129400	defLine	similar to Cytochrome c oxidase polypeptide Vc
Sobic.008G129600	defLine	weakly similar to Putative uncharacterized protein At5g35080/F7N22_50
Sobic.008G129700	defLine	similar to PAPA-1-like conserved region family protein, expressed
Sobic.008G129800	defLine	similar to Pectinesterase inhibitor domain containing protein, expressed
Sobic.008G129900	defLine	similar to Flagellar biosynthesis protein FLHA, putative, expressed
Sobic.008G130100	defLine	similar to Protein kinase family protein, putative, expressed
Sobic.008G130400	defLine	similar to Prefoldin subunit 3, putative, expressed
Sobic.008G130700	defLine	Predicted protein
Sobic.008G130800	defLine	similar to Acyltransferase family protein
Sobic.008G130900	defLine	similar to Ribosomal protein S6 containing protein, expressed
Sobic.008G131000	defLine	similar to Phospholipase/Carboxylesterase family protein, expressed
Sobic.008G131100	defLine	similar to Metallopeptidase family M24 containing protein, expressed
Sobic.008G131200	defLine	similar to Expressed protein
Sobic.008G131300	defLine	similar to Pectinesterase family protein, expressed
Sobic.008G131400	defLine	similar to Myb-like DNA-binding domain containing protein, expressed
Sobic.008G131700	defLine	similar to Thylakoid lumenal 21.5 kDa protein, chloroplast, putative, expressed
Sobic.008G131800	defLine	similar to Zinc knuckle family protein, putative, expressed
Sobic.008G131900	defLine	similar to NB-ARC domain containing protein, expressed
Sobic.008G132000	defLine	similar to Os12g0565200 protein
Sobic.008G132200	defLine	similar to Calmodulin-binding protein MPCBP, putative, expressed
Sobic.008G132300	defLine	similar to Boron transporter
Sobic.008G132400	defLine	similar to Putative uncharacterized protein
Sobic.008G132700	defLine	similar to ATP-citrate synthase, putative, expressed
Sobic.008G132800	defLine	similar to Expressed protein
Sobic.008G132900	defLine	similar to Expressed protein
Sobic.008G133000	defLine	similar to Expressed protein
Sobic.008G133200	defLine	weakly similar to GDSL-like Lipase/Acylhydrolase family protein, expressed
Sobic.008G133300	defLine	similar to UNC93, putative, expressed
Sobic.008G1334000	defLine	similar to UNC93, putative, expressed
Sobic.008G1334001	defLine	similar to UNC93, putative, expressed
Sobic.008G1334002	defLine	similar to UNC93, putative, expressed
